EEID,satisfaction_level,satisfaction_level_bucket,last_evaluation,last_evaluation_bucket,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,Burnout risk
EMP-0092,3,Medium,3,Medium,2,143,3,0,1,0,sales,low,Stable
EMP-0093,3,Medium,3,Medium,2,129,3,0,1,0,sales,low,Stable
EMP-0094,1,Low,4,High,6,255,4,0,1,0,sales,low,Burnout Risk
EMP-0095,2,Low,3,Medium,2,155,3,0,1,0,sales,low,Stable
EMP-0096,1,Low,4,High,6,265,4,0,1,0,sales,low,Burnout Risk
EMP-0097,1,Low,4,High,6,279,4,0,1,0,sales,low,Burnout Risk
EMP-0098,1,Low,5,High,6,284,4,0,1,0,sales,low,Burnout Risk
EMP-0099,5,High,5,High,5,221,6,0,1,0,sales,medium,Stable
EMP-0100,3,Medium,3,Medium,2,154,3,0,1,0,sales,medium,Stable
EMP-0101,2,Low,3,Medium,2,147,3,0,1,0,sales,medium,Stable
EMP-0102,3,Medium,3,Medium,2,150,3,0,1,0,sales,medium,Stable
EMP-0103,1,Low,5,High,7,267,4,0,1,0,sales,medium,Burnout Risk
EMP-0104,3,Medium,3,Medium,2,158,3,0,1,0,sales,medium,Stable
EMP-0105,2,Low,3,Medium,7,224,5,0,1,0,accounting,medium,Burnout Risk
EMP-0106,5,High,5,High,4,257,5,0,1,0,accounting,medium,Stable
EMP-0107,3,Medium,3,Medium,2,148,3,0,1,0,accounting,medium,Stable
EMP-0108,4,High,4,High,3,177,4,0,1,0,hr,medium,Stable
EMP-0109,3,Medium,3,Medium,2,155,3,0,1,0,hr,medium,Stable
EMP-0110,3,Medium,3,Medium,2,144,3,0,1,0,hr,medium,Stable
EMP-0111,1,Low,4,High,6,289,4,0,1,0,hr,high,Burnout Risk
EMP-0112,3,Medium,3,Medium,2,160,3,0,1,0,technical,low,Stable
EMP-0113,5,High,5,High,4,258,5,0,1,0,technical,medium,Stable
EMP-0114,4,High,5,High,5,234,5,0,1,0,technical,medium,Stable
EMP-0115,2,Low,3,Medium,2,137,3,0,1,0,technical,medium,Stable
EMP-0116,4,High,4,High,5,263,2,0,1,0,technical,medium,Stable
EMP-0117,1,Low,4,High,6,251,4,0,1,0,technical,low,Burnout Risk
EMP-0118,2,Low,3,Medium,2,133,3,0,1,0,technical,low,Stable
EMP-0119,3,Medium,3,Medium,2,132,3,0,1,0,technical,low,Stable
EMP-0120,2,Low,3,Medium,4,158,4,1,1,0,technical,low,Stable
EMP-0121,3,Medium,3,Medium,2,135,3,0,1,0,technical,low,Stable
EMP-0122,4,High,5,High,4,216,6,0,1,0,technical,low,Stable
EMP-0123,1,Low,4,High,6,300,5,1,1,0,support,low,Burnout Risk
EMP-0124,3,Medium,3,Medium,2,138,3,0,1,0,support,low,Stable
EMP-0125,1,Low,5,High,6,260,4,0,1,0,support,low,Burnout Risk
EMP-0126,3,Medium,3,Medium,2,132,3,0,1,0,support,low,Stable
EMP-0127,4,High,5,High,3,183,5,0,1,0,support,low,Stable
EMP-0128,1,Low,4,High,6,250,4,0,1,0,support,low,Burnout Risk
EMP-0129,2,Low,3,Medium,2,151,3,0,1,0,support,low,Stable
EMP-0130,1,Low,4,High,6,292,4,0,1,0,support,low,Burnout Risk
EMP-0131,3,Medium,3,Medium,2,140,3,0,1,0,support,low,Stable
EMP-0132,5,High,5,High,5,221,5,0,1,0,support,low,Stable
EMP-0133,3,Medium,3,Medium,2,138,3,0,1,0,support,low,Stable
EMP-0134,2,Low,3,Medium,2,132,3,0,1,0,technical,low,Stable
EMP-0135,2,Low,4,High,7,133,5,0,1,0,technical,low,Stable
EMP-0136,1,Low,4,High,6,283,4,1,1,0,technical,low,Burnout Risk
EMP-0137,3,Medium,3,Medium,2,129,3,0,1,0,management,low,Stable
EMP-0138,4,High,5,High,4,249,5,0,1,0,IT,low,Stable
EMP-0139,4,High,4,High,5,257,5,0,1,0,IT,low,Stable
EMP-0140,1,Low,5,High,6,245,4,0,1,0,IT,low,Burnout Risk
EMP-0141,3,Medium,3,Medium,2,155,3,0,1,0,IT,low,Stable
EMP-0142,1,Low,4,High,6,256,4,0,1,0,IT,low,Burnout Risk
EMP-0143,2,Low,3,Medium,2,152,3,0,1,0,product_mng,low,Stable
EMP-0144,4,High,5,High,4,267,5,0,1,0,product_mng,low,Stable
EMP-0145,3,Medium,3,Medium,2,151,3,0,1,0,product_mng,low,Stable
EMP-0146,4,High,5,High,4,239,5,0,1,0,product_mng,low,Stable
EMP-0147,1,Low,4,High,6,306,4,0,1,0,IT,low,Burnout Risk
EMP-0148,4,High,5,High,4,263,5,1,1,0,marketing,low,Stable
EMP-0149,3,Medium,3,Medium,2,147,3,0,1,0,marketing,low,Stable
EMP-0150,1,Low,5,High,6,278,4,0,1,0,marketing,low,Burnout Risk
EMP-0151,3,Medium,3,Medium,2,154,3,0,1,0,marketing,low,Stable
EMP-0152,2,Low,3,Medium,2,143,3,0,1,0,marketing,low,Stable
EMP-0153,3,Medium,3,Medium,2,155,3,0,1,0,marketing,low,Stable
EMP-0154,3,Medium,3,Medium,2,160,3,0,1,0,sales,low,Stable
EMP-0155,1,Low,4,High,6,304,4,0,1,0,accounting,low,Burnout Risk
EMP-0156,4,High,5,High,5,240,5,0,1,0,support,low,Stable
EMP-0157,1,Low,5,High,6,305,4,0,1,0,technical,low,Burnout Risk
EMP-0158,3,Medium,3,Medium,2,136,3,0,1,0,management,low,Stable
EMP-0159,3,Medium,3,Medium,2,132,3,0,1,0,marketing,low,Stable
EMP-0160,1,Low,5,High,7,301,4,0,1,0,marketing,low,Burnout Risk
EMP-0161,5,High,5,High,5,243,6,0,1,0,marketing,low,Stable
EMP-0162,3,Medium,3,Medium,2,147,3,0,1,0,sales,low,Stable
EMP-0163,4,High,5,High,5,239,5,0,1,0,sales,low,Stable
EMP-0164,5,High,5,High,5,260,5,0,1,0,sales,low,Stable
EMP-0165,1,Low,4,High,7,296,4,0,1,0,sales,low,Burnout Risk
EMP-0166,3,Medium,3,Medium,2,129,3,0,1,0,sales,low,Stable
EMP-0167,2,Low,3,Medium,5,132,5,0,1,0,sales,low,Stable
EMP-0168,2,Low,3,Medium,2,135,5,0,1,0,sales,low,Stable
EMP-0169,3,Medium,3,Medium,2,158,3,0,1,0,sales,low,Stable
EMP-0170,4,High,5,High,4,259,5,0,1,0,sales,low,Stable
EMP-0171,3,Medium,3,Medium,2,160,3,0,1,1,sales,low,Stable
EMP-0172,1,Low,4,High,7,278,4,0,1,0,sales,low,Burnout Risk
EMP-0173,1,Low,5,High,6,284,4,0,1,0,sales,low,Burnout Risk
EMP-0174,4,High,3,Medium,2,274,4,0,1,0,sales,low,Stable
EMP-0175,3,Medium,4,High,4,164,2,0,1,0,sales,low,Stable
EMP-0176,3,Medium,3,Medium,2,148,3,0,1,0,sales,low,Stable
EMP-0177,3,Medium,3,Medium,2,140,3,0,1,0,sales,medium,Stable
EMP-0178,2,Low,3,Medium,2,127,3,0,1,0,sales,medium,Stable
EMP-0179,1,Low,4,High,6,308,5,0,1,0,sales,medium,Burnout Risk
EMP-0180,3,Medium,3,Medium,2,146,3,0,1,0,sales,medium,Stable
EMP-0181,1,Low,4,High,6,261,4,0,1,0,accounting,medium,Burnout Risk
EMP-0182,5,High,5,High,5,257,5,0,1,0,accounting,medium,Stable
EMP-0183,1,Low,4,High,6,285,4,0,1,0,accounting,medium,Burnout Risk
EMP-0184,2,Low,3,Medium,2,141,3,0,1,0,hr,medium,Stable
EMP-0185,3,Medium,3,Medium,2,127,3,0,1,0,hr,medium,Stable
EMP-0186,1,Low,4,High,6,297,4,0,1,0,hr,medium,Burnout Risk
EMP-0187,3,Medium,3,Medium,2,143,3,0,1,0,hr,medium,Stable
EMP-0188,2,Low,3,Medium,2,152,3,0,1,0,technical,medium,Stable
EMP-0189,3,Medium,3,Medium,2,156,3,0,1,0,technical,high,Stable
EMP-0190,1,Low,4,High,7,283,5,0,1,0,technical,low,Burnout Risk
EMP-0191,5,High,4,High,4,226,6,1,1,0,technical,medium,Stable
EMP-0192,4,High,5,High,4,232,5,0,1,0,technical,medium,Stable
EMP-0193,1,Low,4,High,6,249,4,0,1,0,technical,medium,Burnout Risk
EMP-0194,5,High,5,High,4,275,5,0,1,0,technical,medium,Stable
EMP-0195,1,Low,4,High,6,304,4,0,1,0,technical,low,Burnout Risk
EMP-0196,2,Low,3,Medium,7,278,3,0,1,0,technical,low,Burnout Risk
EMP-0197,1,Low,5,High,6,287,4,0,1,0,technical,low,Burnout Risk
EMP-0198,1,Low,5,High,7,285,4,0,1,0,technical,low,Burnout Risk
EMP-0199,4,High,5,High,5,226,6,0,1,0,support,low,Stable
EMP-0200,5,High,4,High,5,259,5,0,1,0,support,low,Stable
EMP-0201,3,Medium,3,Medium,2,135,3,0,1,0,support,low,Stable
EMP-0202,4,High,5,High,5,219,5,0,1,0,support,low,Stable
EMP-0203,1,Low,5,High,6,256,4,0,1,0,support,low,Burnout Risk
EMP-0204,4,High,5,High,5,254,6,0,1,0,support,low,Stable
EMP-0205,3,Medium,3,Medium,2,153,3,0,1,0,support,low,Stable
EMP-0206,4,High,5,High,5,228,5,0,1,0,support,low,Stable
EMP-0207,4,High,4,High,4,228,5,0,1,0,support,low,Stable
EMP-0208,3,Medium,3,Medium,2,128,3,0,1,0,support,low,Stable
EMP-0209,3,Medium,3,Medium,2,153,3,0,1,0,support,low,Stable
EMP-0210,3,Medium,3,Medium,2,156,3,0,1,0,technical,low,Stable
EMP-0211,3,Medium,3,Medium,4,294,3,0,1,0,technical,low,Stable
EMP-0212,5,High,5,High,5,219,5,0,1,0,technical,low,Stable
EMP-0213,3,Medium,3,Medium,2,153,3,0,1,0,management,low,Stable
EMP-0214,3,Medium,3,Medium,2,151,3,0,1,0,IT,low,Stable
EMP-0215,2,Low,3,Medium,2,155,3,0,1,0,IT,low,Stable
EMP-0216,2,Low,3,Medium,2,158,3,0,1,0,IT,low,Stable
EMP-0217,5,High,5,High,5,245,5,0,1,0,IT,low,Stable
EMP-0218,3,Medium,3,Medium,2,131,3,0,1,0,IT,low,Stable
EMP-0219,5,High,4,High,5,225,5,0,1,0,product_mng,low,Stable
EMP-0220,1,Low,4,High,6,286,4,0,1,0,product_mng,low,Burnout Risk
EMP-0221,2,Low,3,Medium,2,135,3,0,1,0,product_mng,low,Stable
EMP-0222,2,Low,3,Medium,2,153,3,0,1,0,product_mng,low,Stable
EMP-0223,4,High,5,High,5,252,5,0,1,0,IT,low,Stable
EMP-0224,3,Medium,3,Medium,2,149,3,0,1,0,accounting,low,Stable
EMP-0225,5,High,5,High,4,258,5,0,1,0,accounting,low,Stable
EMP-0226,2,Low,3,Medium,2,158,3,0,1,0,hr,low,Stable
EMP-0227,3,Medium,3,Medium,2,149,3,0,1,0,hr,low,Stable
EMP-0228,4,High,5,High,5,236,5,0,1,0,hr,low,Stable
EMP-0229,4,High,5,High,5,239,6,0,1,0,marketing,low,Stable
EMP-0230,3,Medium,3,Medium,2,159,3,0,1,0,marketing,low,Stable
EMP-0231,5,High,5,High,5,255,6,0,1,0,sales,low,Stable
EMP-0232,1,Low,4,High,6,244,4,0,1,0,accounting,low,Burnout Risk
EMP-0233,3,Medium,3,Medium,2,134,3,0,1,0,support,low,Stable
EMP-0234,3,Medium,3,Medium,4,270,4,0,1,0,technical,low,Stable
EMP-0235,4,High,4,High,4,255,5,0,1,0,management,low,Stable
EMP-0236,3,Medium,3,Medium,2,151,3,0,1,0,marketing,low,Stable
EMP-0237,3,Medium,3,Medium,2,135,3,0,1,0,marketing,low,Stable
EMP-0238,3,Medium,3,Medium,2,146,3,0,1,0,marketing,low,Stable
EMP-0239,1,Low,5,High,7,254,4,0,1,0,sales,low,Burnout Risk
EMP-0240,1,Low,4,High,7,289,4,0,1,0,sales,low,Burnout Risk
EMP-0241,2,Low,3,Medium,2,156,3,0,1,0,sales,low,Stable
EMP-0242,3,Medium,3,Medium,2,156,3,0,1,0,sales,low,Stable
EMP-0243,3,Medium,3,Medium,2,128,3,0,1,0,sales,low,Stable
EMP-0244,5,High,4,High,5,275,5,0,1,0,sales,low,Stable
EMP-0245,3,Medium,3,Medium,2,155,3,0,1,0,sales,low,Stable
EMP-0246,2,Low,3,Medium,2,159,3,0,1,0,sales,low,Stable
EMP-0247,3,Medium,3,Medium,2,148,3,0,1,0,sales,low,Stable
EMP-0248,4,High,5,High,4,228,5,0,1,0,sales,low,Stable
EMP-0249,1,Low,4,High,6,298,4,0,1,0,sales,low,Burnout Risk
EMP-0250,4,High,4,High,5,261,5,0,1,0,sales,low,Stable
EMP-0251,4,High,5,High,5,254,6,0,1,0,sales,low,Stable
EMP-0252,2,Low,3,Medium,7,192,3,0,1,0,sales,low,Stable
EMP-0253,4,High,5,High,4,248,5,0,1,0,sales,low,Stable
EMP-0254,3,Medium,5,High,2,258,5,0,1,0,sales,low,Stable
EMP-0255,3,Medium,3,Medium,2,156,3,0,1,0,sales,medium,Stable
EMP-0256,1,Low,4,High,6,266,4,1,1,0,sales,medium,Burnout Risk
EMP-0257,3,Medium,3,Medium,2,156,3,0,1,0,sales,medium,Stable
EMP-0258,5,High,5,High,5,232,5,1,1,0,accounting,medium,Stable
EMP-0259,1,Low,4,High,6,287,4,0,1,0,accounting,medium,Burnout Risk
EMP-0260,3,Medium,3,Medium,2,154,3,0,1,0,accounting,medium,Stable
EMP-0261,4,High,5,High,5,263,5,0,1,0,hr,medium,Stable
EMP-0262,3,Medium,3,Medium,2,131,3,0,1,0,hr,medium,Stable
EMP-0263,1,Low,4,High,6,260,4,0,1,0,hr,medium,Burnout Risk
EMP-0264,3,Medium,3,Medium,2,139,3,0,1,0,hr,medium,Stable
EMP-0265,4,High,5,High,4,251,5,0,1,0,technical,medium,Stable
EMP-0266,1,Low,5,High,6,286,4,0,1,0,technical,medium,Burnout Risk
EMP-0267,3,Medium,3,Medium,2,129,3,0,1,0,technical,high,Stable
EMP-0268,3,Medium,3,Medium,2,156,3,0,1,0,technical,low,Stable
EMP-0269,3,Medium,4,High,6,139,6,0,1,0,technical,medium,Stable
EMP-0270,3,Medium,3,Medium,2,127,3,0,1,0,technical,medium,Stable
EMP-0271,1,Low,4,High,6,251,4,0,1,0,technical,medium,Burnout Risk
EMP-0272,4,High,5,High,5,270,5,0,1,0,technical,medium,Stable
EMP-0273,1,Low,5,High,6,296,4,0,1,0,technical,low,Burnout Risk
EMP-0274,1,Low,5,High,6,254,4,0,1,0,technical,low,Burnout Risk
EMP-0275,4,High,5,High,5,238,6,0,1,0,technical,low,Stable
EMP-0276,1,Low,5,High,6,267,4,1,1,0,support,low,Burnout Risk
EMP-0277,4,High,5,High,5,229,6,0,1,0,support,low,Stable
EMP-0278,1,Low,4,High,6,254,4,0,1,0,support,low,Burnout Risk
EMP-0279,4,High,4,High,4,233,4,1,1,0,support,low,Stable
EMP-0280,1,Low,5,High,6,268,4,0,1,0,support,low,Burnout Risk
EMP-0281,2,Low,3,Medium,3,301,3,0,1,0,support,low,Burnout Risk
EMP-0282,4,High,5,High,5,267,6,0,1,0,support,low,Stable
EMP-0283,1,Low,5,High,6,289,4,1,1,0,support,low,Burnout Risk
EMP-0284,3,Medium,3,Medium,2,144,3,0,1,0,support,low,Stable
EMP-0285,3,Medium,3,Medium,2,148,3,0,1,0,support,low,Stable
EMP-0286,1,Low,4,High,6,306,4,0,1,0,support,low,Burnout Risk
EMP-0287,1,Low,4,High,6,292,4,0,1,1,technical,low,Burnout Risk
EMP-0288,4,High,5,High,5,232,5,0,1,0,technical,low,Stable
EMP-0289,2,Low,3,Medium,2,137,3,0,1,0,technical,low,Stable
EMP-0290,3,Medium,3,Medium,2,128,3,0,1,0,management,low,Stable
EMP-0291,4,High,4,High,5,231,5,0,1,0,IT,low,Stable
EMP-0292,3,Medium,3,Medium,2,146,3,0,1,0,IT,low,Stable
EMP-0293,1,Low,5,High,6,308,4,1,1,0,IT,low,Burnout Risk
EMP-0294,1,Low,5,High,6,253,4,0,1,0,IT,medium,Burnout Risk
EMP-0295,3,Medium,3,Medium,2,146,3,0,1,0,IT,medium,Stable
EMP-0296,3,Medium,3,Medium,2,156,3,0,1,0,product_mng,medium,Stable
EMP-0297,3,Medium,3,Medium,2,147,3,0,1,0,product_mng,medium,Stable
EMP-0298,3,Medium,3,Medium,2,136,3,0,1,0,product_mng,medium,Stable
EMP-0299,4,High,4,High,5,249,5,0,1,0,product_mng,medium,Stable
EMP-0300,3,Medium,3,Medium,2,151,3,0,1,0,IT,medium,Stable
EMP-0301,1,Low,5,High,3,278,4,0,1,0,RandD,medium,Burnout Risk
EMP-0302,1,Low,4,High,7,250,5,0,1,0,RandD,medium,Burnout Risk
EMP-0303,2,Low,3,Medium,2,127,3,0,1,0,RandD,medium,Stable
EMP-0304,5,High,4,High,5,255,5,0,1,0,RandD,medium,Stable
EMP-0305,3,Medium,3,Medium,2,135,3,0,1,0,RandD,medium,Stable
EMP-0306,2,Low,3,Medium,2,149,3,0,1,0,marketing,high,Stable
EMP-0307,1,Low,4,High,5,287,4,0,1,0,sales,low,Burnout Risk
EMP-0308,3,Medium,3,Medium,2,145,3,0,1,0,accounting,medium,Stable
EMP-0309,1,Low,5,High,6,285,4,0,1,0,support,medium,Burnout Risk
EMP-0310,1,Low,5,High,7,305,4,0,1,0,technical,medium,Burnout Risk
EMP-0311,1,Low,5,High,7,300,4,0,1,0,management,medium,Burnout Risk
EMP-0312,3,Medium,3,Medium,2,139,3,0,1,0,marketing,low,Stable
EMP-0313,3,Medium,3,Medium,2,130,3,0,1,0,marketing,low,Stable
EMP-0314,1,Low,4,High,6,268,4,0,1,0,marketing,low,Burnout Risk
EMP-0315,4,High,4,High,4,245,6,0,1,0,sales,low,Stable
EMP-0316,3,Medium,3,Medium,2,135,3,0,1,0,sales,low,Stable
EMP-0317,2,Low,3,Medium,2,153,3,0,1,0,sales,low,Stable
EMP-0318,1,Low,5,High,6,276,4,0,1,0,sales,low,Burnout Risk
EMP-0319,3,Medium,3,Medium,2,130,3,0,1,0,sales,low,Stable
EMP-0320,3,Medium,3,Medium,2,153,3,1,1,0,sales,low,Stable
EMP-0321,4,High,4,High,5,244,5,0,1,0,sales,low,Stable
EMP-0322,3,Medium,3,Medium,2,253,3,0,1,0,sales,low,Stable
EMP-0323,1,Low,5,High,7,287,4,0,1,0,sales,low,Burnout Risk
EMP-0324,2,Low,3,Medium,2,131,3,0,1,0,sales,low,Stable
EMP-0325,3,Medium,3,Medium,2,135,3,0,1,0,sales,low,Stable
EMP-0326,2,Low,3,Medium,2,157,3,0,1,0,sales,low,Stable
EMP-0327,5,High,5,High,5,262,6,0,1,0,sales,low,Stable
EMP-0328,1,Low,4,High,6,266,4,0,1,0,sales,low,Burnout Risk
EMP-0329,3,Medium,3,Medium,2,148,3,0,1,0,sales,low,Stable
EMP-0330,3,Medium,3,Medium,2,140,3,0,1,0,sales,low,Stable
EMP-0331,1,Low,4,High,7,302,4,0,1,0,sales,low,Burnout Risk
EMP-0332,1,Low,5,High,6,271,4,0,1,0,sales,low,Burnout Risk
EMP-0333,3,Medium,3,Medium,2,145,3,0,1,0,sales,medium,Stable
EMP-0334,1,Low,4,High,6,290,4,0,1,0,accounting,medium,Burnout Risk
EMP-0335,3,Medium,3,Medium,2,151,3,0,1,0,accounting,medium,Stable
EMP-0336,4,High,4,High,5,266,5,0,1,0,accounting,medium,Stable
EMP-0337,3,Medium,3,Medium,2,140,3,0,1,0,hr,medium,Stable
EMP-0338,3,Medium,3,Medium,2,142,3,0,1,0,hr,medium,Stable
EMP-0339,1,Low,5,High,6,246,4,0,1,0,hr,medium,Burnout Risk
EMP-0340,1,Low,5,High,7,308,5,0,1,0,hr,medium,Burnout Risk
EMP-0341,2,Low,3,Medium,2,141,3,0,1,0,technical,medium,Stable
EMP-0342,5,High,5,High,5,232,5,0,1,0,technical,medium,Stable
EMP-0343,3,Medium,3,Medium,2,143,3,0,1,0,technical,medium,Stable
EMP-0344,2,Low,3,Medium,2,155,3,0,1,0,technical,medium,Stable
EMP-0345,1,Low,4,High,6,278,4,0,1,0,technical,high,Burnout Risk
EMP-0346,4,High,5,High,4,253,5,0,1,0,technical,low,Stable
EMP-0347,1,Low,4,High,6,282,4,0,1,0,technical,medium,Burnout Risk
